title,totalScore,reviewsCount,street,city,state,countryCode,website,phone,categories/0,categories/1,categories/2,categories/3,categories/4,categories/5,categories/6,categories/7,categories/8,categories/9,url,categoryName
Kerala Cafe,4.1,3176,"VN Purav Marg, next to Naturals Ice Cream",Mumbai,Maharashtra,IN,http://www.keralacafe.co/,+91 91366 22645,South Indian restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Kerala%20Cafe&query_place_id=ChIJtTAXJ2_H5zsRDdGm1_7CsYA,South Indian restaurant
Aditya's Pool Cafe | Chunabhatti,5,30,"Aditya's Pool Cafe, Society, Vasant Patil Marg, beside Swami Sankul Apartment",Mumbai,Maharashtra,IN,,+91 84549 63595,Pool billard club,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Aditya's%20Pool%20Cafe%20%7C%20Chunabhatti&query_place_id=ChIJUxrLfAbJ5zsRY6J4IBR5Ouo,Pool billard club
Cafe Gulshan Restaurant,3.7,108,"Ganesh Nagar, 90 Feet Rd",Mumbai,Maharashtra,IN,,,Restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Cafe%20Gulshan%20Restaurant&query_place_id=ChIJQdHGx4u35zsRTJmY5TWdSHU,Restaurant
Delicacy Pure Veg Restaurant,3.9,2859,"Shop No.1,2 & 3, Ground Floor, Abhilasha Apartment, S V Road, opp. Reliance Energy",Mumbai,Maharashtra,IN,https://www.zomato.com/mumbai/delicacy-kandivali-west,+91 95940 99279,Vegetarian restaurant,Breakfast restaurant,Chinese restaurant,Fast food restaurant,Punjabi restaurant,South Indian restaurant,,,,,https://www.google.com/maps/search/?api=1&query=Delicacy%20Pure%20Veg%20Restaurant&query_place_id=ChIJc4usNd625zsRDri5ocOAMcM,Vegetarian restaurant
Dwaraka Veg. Restaurant,4.1,3569,Shimpoli Rd,Mumbai,Maharashtra,IN,,+91 99675 97304,South Indian restaurant,Chinese restaurant,Continental restaurant,Fast food restaurant,Punjabi restaurant,Vegetarian restaurant,,,,,https://www.google.com/maps/search/?api=1&query=Dwaraka%20Veg.%20Restaurant&query_place_id=ChIJ-yGRYCqx5zsRrJp4x5WpFNM,South Indian restaurant
Cafe Naaz Restaurant,3.8,904,"Akbar Market, Western Urban Rd",Mumbai,Maharashtra,IN,https://www.google.com/amp/s/www.zomato.com/mumbai/cafe-naaz-dahisar-east?amp=1,+91 98193 74811,North Indian restaurant,Chinese restaurant,Punjabi restaurant,,,,,,,,https://www.google.com/maps/search/?api=1&query=Cafe%20Naaz%20Restaurant&query_place_id=ChIJI8iwpcKw5zsR-NMypNlmQuM,North Indian restaurant
Golden Family Restaurant,4.3,157,"Neelakash, Carter Rd Number 5",Mumbai,Maharashtra,IN,,+91 83348 33473,North Indian restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Golden%20Family%20Restaurant&query_place_id=ChIJ_____zqx5zsRSFyLHOVWOWw,North Indian restaurant
Sanjay Restaurant,4,1304,"Shop Number 1, 2, 3, 4, Nanak Nagar, Railway Station, Mahatma Gandhi Rd, near Borivali",Mumbai,Maharashtra,IN,https://www.zomato.com/mumbai/sanjay-borivali-east/order,+91 22 2893 4237,Vegetarian restaurant,Breakfast restaurant,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Sanjay%20Restaurant&query_place_id=ChIJYZcyJsW25zsRApTiBLefmjs,Vegetarian restaurant
Swami Samarth Fast Food And Restaurants,5,1,,Mumbai,Maharashtra,IN,,,Restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Swami%20Samarth%20Fast%20Food%20And%20Restaurants&query_place_id=ChIJOQWJxdOw5zsRCwjbFfUxuRE,Restaurant
Neeraj Restaurants,5,1,"Shop No 78, Thakur Complex Rd",Mumbai,Maharashtra,IN,,+91 73899 20263,Fast food restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Neeraj%20Restaurants&query_place_id=ChIJb57aE7235zsRXJtFGemZkwc,Fast food restaurant
Uncle's Corner - A Family Restaurant,3.7,883,"Shop No. 1 & 1A, Church Way Co-op. Socity, IC Colony Rd",Mumbai,Maharashtra,IN,,+91 98205 84765,Chinese restaurant,Fast food restaurant,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Uncle's%20Corner%20-%20A%20Family%20Restaurant&query_place_id=ChIJmR4Dxx-x5zsRblQBPNdXbc0,Chinese restaurant
Pilu's A Family Restaurant,4,441,"Shop 2, Aishwarya Enclave, Y T Road, Dahisar Bridge",Mumbai,Maharashtra,IN,,+91 93240 30704,Chinese restaurant,Fast food restaurant,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Pilu's%20A%20Family%20Restaurant&query_place_id=ChIJLQqEZuOw5zsRiekdna3Yss8,Chinese restaurant
Nischita Fast Food and Chinese Restaurant Original [Since 1999],4.1,1674,"3, Chamunda, Holy Cross Road Extension Borivali west",Mumbai,Maharashtra,IN,,+91 22 2892 1027,Biryani restaurant,Chicken restaurant,Children's party buffet,Chinese restaurant,Mughlai restaurant,Party planner,Vegetarian restaurant,,,,https://www.google.com/maps/search/?api=1&query=Nischita%20Fast%20Food%20and%20Chinese%20Restaurant%20Original%20%5BSince%201999%5D&query_place_id=ChIJS6wYFR2x5zsRdPIMLcD4O0Y,Biryani restaurant
Alpha Dent dental clinic,4.9,18,"ALAKANAND building, Building No 14, SHOP NO. 6, next to lawhale’s tutorial",Mumbai,Maharashtra,IN,https://www.instagram.com/alpha.dentdentalclinic?igsh=ZWFuaG1peDY5N2l1&utm_source=qr,+91 95946 57797,Dental clinic,Cosmetic dentist,Dentist,Dental implants provider,,,,,,,https://www.google.com/maps/search/?api=1&query=Alpha%20Dent%20dental%20clinic&query_place_id=ChIJl5L4q83J5zsRLokGZ2L2Dus,Dental clinic
Shagun - Veg Restaurant,3.9,3962,"Shop No. 1, 2, 3 & 4, Gold Buds Co Op Housing Society, Laxman Mhatre Rd",Mumbai,Maharashtra,IN,https://www.zomato.com/mumbai/shagun-dahisar-west,+91 91372 32305,South Indian restaurant,Breakfast restaurant,Chinese restaurant,Fast food restaurant,Punjabi restaurant,Restaurant,Vegetarian restaurant,,,,https://www.google.com/maps/search/?api=1&query=Shagun%20-%20Veg%20Restaurant&query_place_id=ChIJh7YMXuCw5zsRH1tH52imfKA,South Indian restaurant
Dr Manisha Shah's Dental Clinic Chembur,5,265,"4th Floor, Pearl Belleza Building, 403 A Wing, DK Sandu Marg, above Hotel Malhar",Mumbai,Maharashtra,IN,https://www.drmanishashah.com/,+91 98677 44196,Dental clinic,Cosmetic dentist,Dental implants periodontist,Dentist,Endodontist,Oral surgeon,Orthodontist,Pediatric dentist,Periodontist,Prosthodontist,https://www.google.com/maps/search/?api=1&query=Dr%20Manisha%20Shah's%20Dental%20Clinic%20Chembur&query_place_id=ChIJM9niUFbP5zsRCiEp8Bp3iFg,Dental clinic
Tirumala cafe,4.9,9,"3V3W+HG4, Sion - Trombay Rd",Mumbai,Maharashtra,IN,,+91 98677 81644,Vegetarian restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Tirumala%20cafe&query_place_id=ChIJx0YDfv_J5zsRbPeMixXYAKk,Vegetarian restaurant
Bhagwati Restaurant,4.1,2531,"1, Sai Baba Nagar Rd",Mumbai,Maharashtra,IN,https://bhagwatirestaurant.com/,+91 72084 51757,Vegetarian restaurant,Fast food restaurant,North Indian restaurant,,,,,,,,https://www.google.com/maps/search/?api=1&query=Bhagwati%20Restaurant&query_place_id=ChIJa1VdAWW35zsRxDz9LzlSmA0,Vegetarian restaurant
VR CAFE,5,5,"Shop no 4, Shri Ganesh Chawl, near Khandoba Mandir Marg",Mumbai,Maharashtra,IN,,+91 74988 55206,Cafe,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=VR%20CAFE&query_place_id=ChIJz7oe-WzH5zsRYx8iAGRs6GE,Cafe
Salah's cafe,4.9,9,"33 Bhai Bhai Nagar Chembur Naka Mumbai 71, next to Bjp Office",Mumbai,Maharashtra,IN,,+91 84528 31452,Restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Salah's%20cafe&query_place_id=ChIJ1d8eNJbJ5zsRkIFHuWIG50E,Restaurant
Fidato Gaming Cafe Chembur,4.5,14,"Fidato Gaming Cafe, near bada ganpati mandir",Mumbai,Maharashtra,IN,,,Cafe,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Fidato%20Gaming%20Cafe%20Chembur&query_place_id=ChIJwRMDMrPJ5zsRtnaxtZ9Hko0,Cafe
Cafe KANTARA,5,5,Saffron Residency,Mumbai,Maharashtra,IN,,+91 80809 08020,Cafe,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Cafe%20KANTARA&query_place_id=ChIJL3rkwujJ5zsRfV7Ayg0wVso,Cafe
Samruddhi Restaurant & Bar,3.7,294,"Rainbow Building, Shantilal Modi Rd, near Mayur Cinema",Mumbai,Maharashtra,IN,,+91 22 2865 9265,Restaurant,Bar,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Samruddhi%20Restaurant%20%26%20Bar&query_place_id=ChIJPQ1AGdy25zsRNUWTGBhhO-w,Restaurant
Golden Plate Restaurants,4.1,369,"Naka National, Dahisar Toll, 7/8 Kishan Nagar Before, Western Urban Rd",Mumbai,Maharashtra,IN,,+91 99874 55786,North Indian restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Golden%20Plate%20Restaurants&query_place_id=ChIJCWHm98Cx5zsRsaVD87ALzq0,North Indian restaurant
Satkar Family Restaurant & Bar,4.3,218,"Palak Pluto CHSL, New Link Rd, next to RTO",Mumbai,Maharashtra,IN,,+91 90909 01067,Family restaurant,Restaurant,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Satkar%20Family%20Restaurant%20%26%20Bar&query_place_id=ChIJod3qeG-x5zsRAHYXCA4Osh4,Family restaurant
SCHUMANIA BAR & RESTAURANT,4.1,2153,"Shop # 8/9,10, opposite Citizen co op bank",Mumbai,Maharashtra,IN,,+91 72082 44127,Restaurant,Bar & grill,Bar,,,,,,,,https://www.google.com/maps/search/?api=1&query=SCHUMANIA%20BAR%20%26%20RESTAURANT&query_place_id=ChIJa1mYMx6x5zsRNHZE3nw3eyA,Restaurant
Imran Interior Decorators & Core Cutting,4.5,8,"Office number 16, Masjid Lane, 156C, Lal Bahadur Shastri Marg, near Kurla court",Mumbai,Maharashtra,IN,,+91 99201 31995,Interior designer,Carpenter,Civil engineer,Electrical engineer,Fabrication engineer,Glass industry,Contractor,Parking lot,,,https://www.google.com/maps/search/?api=1&query=Imran%20Interior%20Decorators%20%26%20Core%20Cutting&query_place_id=ChIJK4cu4BTJ5zsRP61nrWgtsEY,Interior designer
Mayuresh Designs- Interior Design Studio,,,,,,,https://mayureshdesigns.my.canva.site/,,Interior designer,Service establishment,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Mayuresh%20Designs-%20Interior%20Design%20Studio&query_place_id=ChIJhx1LrIxJvyARC8PKlV43Dxk,Interior designer
Platess Multicuisine Restaurant (Veg/Non Veg),4.1,998,"E, Mahatma Gandhi Rd, next to S.T.Depot",Mumbai,Maharashtra,IN,,+91 98197 46008,Restaurant,Chinese restaurant,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Platess%20Multicuisine%20Restaurant%20(Veg%2FNon%20Veg)&query_place_id=ChIJxZdfTiOx5zsR_den1Xt_DpU,Restaurant
Saffron Family Restaurant,4,420,"Police Station, CTS 165, Ganesh Nagar SOC, Akurli Rd, opp. Samta Nagar",Mumbai,Maharashtra,IN,https://saffronfamilyrestaurant.com/,+91 95943 14539,Family restaurant,Chinese restaurant,Delivery service,Indian restaurant,Restaurant,,,,,,https://www.google.com/maps/search/?api=1&query=Saffron%20Family%20Restaurant&query_place_id=ChIJlekwxlS35zsRVeeiL6B5Qho,Family restaurant
Sarova Bar & Restaurant,4.3,571,"Western Urban Rd, next to Mahindra and Mahindra Ltd",Mumbai,Maharashtra,IN,,+91 98211 57133,Indian restaurant,Bar,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Sarova%20Bar%20%26%20Restaurant&query_place_id=ChIJ5UnGDu235zsRi0-MbZG1XXU,Indian restaurant
Sunny Smiles Dental Clinic,5,196,"Shop#23,24, Nichaldas market (Pink Corner, plot 58",Mumbai,Maharashtra,IN,https://sunnysmilesdental.in/,+91 91372 24438,Dental clinic,Cosmetic dentist,Dental implants periodontist,Dentist,Emergency dental service,Endodontist,Oral and maxillofacial surgeon,Orthodontist,Pediatric dentist,Teeth whitening service,https://www.google.com/maps/search/?api=1&query=Sunny%20Smiles%20Dental%20Clinic&query_place_id=ChIJbzn-1UrJ5zsRyIIhO-rX1uQ,Dental clinic
Quest Restaurant & Bar,4.3,266,Om Shanti Chowk,Mumbai,Maharashtra,IN,,,North Indian restaurant,Family restaurant,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Quest%20Restaurant%20%26%20Bar&query_place_id=ChIJNxRLqQCx5zsRkHGDrqBPc_8,North Indian restaurant
Golden Delicacy Multicuisine Restaurant,4.1,1542,"Shop no 6 to 9, Om Satyam Building, Shimpoli Rd, near Reliance Mall",Mumbai,Maharashtra,IN,,+91 78619 00700,Italian restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Golden%20Delicacy%20Multicuisine%20Restaurant&query_place_id=ChIJ4TchrRWx5zsR2-P3pR-Xj_U,Italian restaurant
The Sassy Café,3.9,62,Jio World Drive,Mumbai,Maharashtra,IN,,+91 80974 10777,Cafe,Family restaurant,,,,,,,,,https://www.google.com/maps/search/?api=1&query=The%20Sassy%20Caf%C3%A9&query_place_id=ChIJq1933m7J5zsR2cWrSMne4AM,Cafe
Darshu's cafe,4.8,4,Upadhya compound,Mumbai,Maharashtra,IN,,+91 77000 27748,Chocolate cafe,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Darshu's%20cafe&query_place_id=ChIJlc5cvRGx5zsRHzrfZc75cXo,Chocolate cafe
Smile Studio IMPLANT and BRACES dental clinic-Dr Chintan Patel/Dr.Anjali Patel- since 2012,4.9,659,"A-1, Rughani Palace B/18, Shantilal Modi Road Iraniwadi, 1",Mumbai,Maharashtra,IN,https://smilestudiodrpatel.in/,+91 98700 46145,Dental clinic,Cosmetic dentist,Dental hygienist,Dental implants provider,Dentist,Emergency dental service,Oral and maxillofacial surgeon,Oral surgeon,Orthodontist,Teeth whitening service,https://www.google.com/maps/search/?api=1&query=Smile%20Studio%20IMPLANT%20and%20BRACES%20dental%20clinic-Dr%20Chintan%20Patel%2FDr.Anjali%20Patel-%20since%202012&query_place_id=ChIJrTntcdy25zsRcOsoveo4Bwg,Dental clinic
Gaonthan - The Family Restaurant,4.4,394,"Kandivali Hwy Overpass, near Dominos pizza",Mumbai,Maharashtra,IN,,+91 91369 90777,Restaurant,Chinese restaurant,Indian restaurant,Mughlai restaurant,North Indian restaurant,,,,,,https://www.google.com/maps/search/?api=1&query=Gaonthan%20-%20The%20Family%20Restaurant&query_place_id=ChIJA8DC3QO35zsRT_fRn_YAN_0,Restaurant
Aurasmiles Dental clinic,5,141,"Avon Plaza, Asha Nagar Rd, opposite Gokul Heaven Building",Mumbai,Maharashtra,IN,http://www.aurasmiles.in/,+91 70215 73468,Dental clinic,Cosmetic dentist,Cosmetic surgeon,Dental implants provider,Dental laboratory,Endodontist,Oral and maxillofacial surgeon,Prosthodontist,Teeth whitening service,,https://www.google.com/maps/search/?api=1&query=Aurasmiles%20Dental%20clinic&query_place_id=ChIJNcGCTEe35zsRxoC-ZuwXTkE,Dental clinic
MASTEE Pure Veg restaurant in Borivali,4.1,5213,"Shop 4, Ground Floor, A, Telephone Exchange, AHCL HOMES, New Link Rd, opposite Shimpoli",Mumbai,Maharashtra,IN,,+91 88280 35800,Vegetarian restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=MASTEE%20Pure%20Veg%20restaurant%20in%20Borivali&query_place_id=ChIJCdhvmC2x5zsRescg2tG5Di4,Vegetarian restaurant
J.K furnitures and interior designer,5,7,"plot no 4, Sonapur Rd, near KPM beakry",Mumbai,Maharashtra,IN,,,Furniture maker,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=J.K%20furnitures%20and%20interior%20designer&query_place_id=ChIJobg-9h7H5zsRPG5vL-iCGyc,Furniture maker
Aromas Café & Bistro,4.3,1717,"Ground Floor, Mamta Building, Waterfield Road, Linking Rd, near National College",Mumbai,Maharashtra,IN,http://www.aromas.asia/,+91 22 6897 6429,Cafe,Australian restaurant,Breakfast restaurant,Continental restaurant,Halal restaurant,Italian restaurant,Mexican restaurant,Pasta shop,Pastry shop,Restaurant,https://www.google.com/maps/search/?api=1&query=Aromas%20Caf%C3%A9%20%26%20Bistro&query_place_id=ChIJtwkZRTjJ5zsRIJkPyWUxVTI,Cafe
Cafe Bollywood,3.3,113,"101, Akurli Rd",Mumbai,Maharashtra,IN,,+91 96190 30487,Cafe,Fast food restaurant,Vegetarian restaurant,,,,,,,,https://www.google.com/maps/search/?api=1&query=Cafe%20Bollywood&query_place_id=ChIJY-M-niO35zsRclUqlWOuaKE,Cafe
Cafe Delight Family Restaurant - Borivali East,4.1,347,"6VJ5+HX5, Mahatma Gandhi Rd, opposite S.T. Depot",Mumbai,Maharashtra,IN,,+91 93219 92556,Family restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Cafe%20Delight%20Family%20Restaurant%20-%20Borivali%20East&query_place_id=ChIJ1-LETxmx5zsR7hjV7prSTMM,Family restaurant
TVISA MIND Design Studio -Luxury Interior Design | Films | Ad Set Design Execution Studio,,,,,,,https://www.instagram.com/tvisa_mind,,Interior designer,Service establishment,,,,,,,,,https://www.google.com/maps/search/?api=1&query=TVISA%20MIND%20Design%20Studio%20-Luxury%20Interior%20Design%20%7C%20Films%20%7C%20Ad%20Set%20Design%20Execution%20Studio&query_place_id=ChIJUfzLpR2bAEMRlpq4P8SwVAQ,Interior designer
Little Cherry Cakes & Cafe,4.2,77,"Shop No.125, EVERSHINE MILLENIUM PARADISE PHASE 5-55, 47",Mumbai,Maharashtra,IN,,+91 97695 01273,Cake shop,Coffee shop,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Little%20Cherry%20Cakes%20%26%20Cafe&query_place_id=ChIJ-15tlza35zsRzBo4GUoDkwE,Cake shop
Cafe Honeyplum Villa,4.7,3,"Raj Arcade, 29, near Dmart",Mumbai,Maharashtra,IN,,+91 70212 48349,Cafe,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Cafe%20Honeyplum%20Villa&query_place_id=ChIJRbMX6RG35zsRajTjMVJlgt0,Cafe
Mumbai Chai Cafe,4,4,"Jpv pratap palace,Mathuradas road, Narayan Joshi Rd",Mumbai,Maharashtra,IN,,,Fast food restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Mumbai%20Chai%20Cafe&query_place_id=ChIJm0911dC35zsRuF2T6U-C_1M,Fast food restaurant
KUMAR'S CAFE,3.9,48,,Mumbai,Maharashtra,IN,,,Restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=KUMAR'S%20CAFE&query_place_id=ChIJER_djb-x5zsRhWwFPolQ2hw,Restaurant
Earth Cafe @ Waterfield,4.6,4124,"Durga Chambers, Waterfield Road, above Pernia's Pop Up MEN",Mumbai,Maharashtra,IN,http://www.earthcafeindia.com/,+91 98198 28989,Cafe,Bakery,Breakfast restaurant,Brunch restaurant,Coffee shop,Dessert shop,Pizza restaurant,Sandwich shop,Vegan restaurant,Vegetarian restaurant,https://www.google.com/maps/search/?api=1&query=Earth%20Cafe%20%40%20Waterfield&query_place_id=ChIJyVc4m77J5zsRgVEr40Ec-Wk,Cafe
CA CAFE,4.8,63,"CA Cafe, 47, Tilak Nagar Railway Station Rd",Mumbai,Maharashtra,IN,,+91 72087 82919,Restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=CA%20CAFE&query_place_id=ChIJfYlfUnTJ5zsR0rHn3jVBF1k,Restaurant
Brewholiks Cafe - Chembur,5,21,"Narayan Gajanan Acharya Marg, opposite to Shree Krishna Juice Centre",Mumbai,Maharashtra,IN,,+91 81048 47642,Cafe,Coffee shop,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Brewholiks%20Cafe%20-%20Chembur&query_place_id=ChIJybSmYHHH5zsRFsA2yHdN2b8,Cafe
"Livspace - Interior Design Studio, Borivali",4.7,13762,"CHS LTD, Shiv Shrushti, 9, New Link Rd",Mumbai,Maharashtra,IN,https://www.livspace.com/in/interiors/mumbai/borivali?utm_medium=GMB&utm_source=wb_borivali,+91 80 4775 9131,Interior designer,Bathroom remodeler,Cabinet store,Furniture manufacturer,Furniture store,General contractor,Home improvement store,Interior Decorator,Kitchen furniture store,Kitchen remodeler,https://www.google.com/maps/search/?api=1&query=Livspace%20-%20Interior%20Design%20Studio%2C%20Borivali&query_place_id=ChIJw_ydpfLO5zsRDfZBQx7B3eo,Interior designer
Kayko Terrace Cafe,4.4,196,"2nd floor, Amul commercial society Ltd E, Rd No. 1, opp. BMC Office",Mumbai,Maharashtra,IN,,+91 83319 55000,Cafe,Modern Indian restaurant,Vegan restaurant,Vegetarian restaurant,,,,,,,https://www.google.com/maps/search/?api=1&query=Kayko%20Terrace%20Cafe&query_place_id=ChIJryF_K0bH5zsRPfM0kGXerr8,Cafe
The Mumbai Cafe,4.9,32,"Phase - 1, Kukreja Compound, Shree Sai Samarth CHS, Bld. No: 30, Shop No: 11, Mhada Colony Rd, near Ambedkar School",Mumbai,Maharashtra,IN,,+91 99877 59269,Restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=The%20Mumbai%20Cafe&query_place_id=ChIJq9YSYPDF5zsROXuU5T0v1SY,Restaurant
"""Masti Bites"" Cafe - Kandivali West",4.7,7,"Dosti Oro 67, C19 dosti oro , C19 , Bandar Pakhadi Rd,Kandivali,RdKandivali,Kandivali west , Mumbai <Maharashtra",Mumbai,Maharashtra,IN,https://masti-bites.localo.site/#,+91 86557 29255,Cafe,Children's cafe,Fast food restaurant,Health food restaurant,Restaurant,,,,,,https://www.google.com/maps/search/?api=1&query=%22Masti%20Bites%22%20Cafe%20-%20Kandivali%20West&query_place_id=ChIJN5Zwcpi35zsRj-2f24D1i10,Cafe
The Bread Bar,4.2,975,"Unit No. 2 and 3, Shah Industrial Estate",Mumbai,Maharashtra,IN,https://linktr.ee/thebreadbar?fbclid=PAAaaAXfPYmux_4Rw5vusooQJ8RHFpTGdqM81o7GXDhogcPRAT7jMmu70uUqc,+91 89284 82554,Cafe,Bakery,Breakfast restaurant,Coffee shop,Dessert shop,Restaurant,Sandwich shop,,,,https://www.google.com/maps/search/?api=1&query=The%20Bread%20Bar&query_place_id=ChIJaVYDZcvH5zsR1mNv1fch8S8,Cafe
Gracias Granny Mexican Cafe,4.7,1561,"1 and 5, Gayatri Building, Shop number, Plot number 202, Station Avenue Road",Mumbai,Maharashtra,IN,https://graciasgranny.com/,+91 88283 37133,Cafe,Mexican restaurant,Caterer,,,,,,,,https://www.google.com/maps/search/?api=1&query=Gracias%20Granny%20Mexican%20Cafe&query_place_id=ChIJuW5AHwrJ5zsR7jTRgSBTe-c,Cafe
Bloom Cafe,4.7,655,"Shop 4, Bldg no 5, Matruchaya C.H.S, opposite Universal school",Mumbai,Maharashtra,IN,https://www.instagram.com/bloomcafe88/profilecard/?igsh=bjQ5YXBob3ZqbXkw,+91 83560 78806,Cafe,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Bloom%20Cafe&query_place_id=ChIJ2fNE9izH5zsRJL0K3UtnSaA,Cafe
Kiyora Spa,4.3,45,,,,,,084229 03351,Spa,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Kiyora%20Spa&query_place_id=ChIJz9LIRLix5zsREE5dP837lcY,Spa
The Jungle Family Restaurant and Party Hall,4.7,2411,"Holy Cross Rd, opposite Borivali Banjara",Mumbai,Maharashtra,IN,,+91 89765 75260,Family restaurant,Banquet hall,Children hall,Fine dining restaurant,Indian restaurant,,,,,,https://www.google.com/maps/search/?api=1&query=The%20Jungle%20Family%20Restaurant%20and%20Party%20Hall&query_place_id=ChIJA20ZjR2x5zsR7uPdd23eAWM,Family restaurant
Bombay Boba,4.5,125,"Shop No 2, Swami Vivekanand Rd, near Jari Mari Temple",Mumbai,Maharashtra,IN,,+91 85913 39606,Cafe,Bistro,Bubble tea store,,,,,,,,https://www.google.com/maps/search/?api=1&query=Bombay%20Boba&query_place_id=ChIJZeRtwpi35zsRZQUrio7VmwE,Cafe
Royale Master Chef Finedine & Banquet,4.3,4300,"B, Kandarpada Rd",Mumbai,Maharashtra,IN,https://www.royalemasterchef.com/,+91 84339 79767,Fine dining restaurant,Banquet hall,Biryani restaurant,Continental restaurant,Italian restaurant,Japanese restaurant,Lebanese restaurant,North Indian restaurant,Seafood restaurant,Thai restaurant,https://www.google.com/maps/search/?api=1&query=Royale%20Master%20Chef%20Finedine%20%26%20Banquet&query_place_id=ChIJ9RVsov2w5zsRN6vOKA7XhgI,Fine dining restaurant
Heaven's Gaming Cafe,4.6,112,"HEAVEN’S GAMING CAFE, SHOP NO-13, VENUS CO-OP HOUSING SOCIETY LIMITED, near JOGGERS PARK",Mumbai,Maharashtra,IN,,+91 97693 02371,Internet cafe,Entertainer,Game store,Video game store,,,,,,,https://www.google.com/maps/search/?api=1&query=Heaven's%20Gaming%20Cafe&query_place_id=ChIJGXuEmR6x5zsR8L7A-fsv3Ts,Internet cafe
First We Vibe Cafe,4.5,35,"Metro Station Ic Colony, Avirahi Homes, 8, New Link Rd, near mandapeshwar",Mumbai,Maharashtra,IN,,+91 93246 06856,Cafe,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=First%20We%20Vibe%20Cafe&query_place_id=ChIJkwSQ2gCx5zsRs7dW9sG4n1I,Cafe
Cafe Taarush,4.4,50,"Shop no.1, New Aashiana View CHSL",Mumbai,Maharashtra,IN,,+91 77381 01121,Cafe,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Cafe%20Taarush&query_place_id=ChIJFcJP2vqx5zsRrkXFuR1HY7k,Cafe
Recess cafe,4.3,53,,Mumbai,Maharashtra,IN,,+91 83699 17737,Cafe,Coffee shop,Restaurant,,,,,,,,https://www.google.com/maps/search/?api=1&query=Recess%20cafe&query_place_id=ChIJKRQGt_u35zsRadVRu02H5jg,Cafe
Greg’s Cafe,4.6,276,"Shop No. 102, 1st Floor, Yash Signature, the main road, opp. Telecom Factory Road",Mumbai,Maharashtra,IN,https://wa.me/message/O3APR6OFGSRQO1,+91 87798 48189,Cafe,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Greg%E2%80%99s%20Cafe&query_place_id=ChIJeXqTdMzH5zsRmqpAzwJ6NmU,Cafe
Bombay to Barcelona Library Cafe,4.7,26,"Title Waves, St Paul media Complex, Rd Number 24, opp. Duruelo Convent High School",Mumbai,Maharashtra,IN,http://www.iambecauseofyou.com/,+91 81086 46788,Coffee shop,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Bombay%20to%20Barcelona%20Library%20Cafe&query_place_id=ChIJyVuxEwDJ5zsRA21-SbvyQg4,Coffee shop
Mira's Veg Restaurant,4.2,2612,"Shop No, Krishna Palace, A-WING, 1 To 4, Thakur Complex Rd",Mumbai,Maharashtra,IN,https://zomato.onelink.me/xqzv/gpejaznh,+91 77000 32115,Restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Mira's%20Veg%20Restaurant&query_place_id=ChIJF35mmiO35zsRmZ6noLo2m3c,Restaurant
